Propagation Method,Metric,Average Score
hierarchical_prop,Average,0.4359309278002697
hierarchical_prop,Std Deviation,0.04792415095758324
entropy_based_propagation,Average,0.4378090857061753
entropy_based_propagation,Std Deviation,0.04229274437813237
nonlinear_activation_propagation,Average,0.4340765016923219
nonlinear_activation_propagation,Std Deviation,0.0474458052634611
direct_prop,Average,0.43943606482269015
direct_prop,Std Deviation,0.05456356240211734
Baseline,Average,0.23336037997240036
Baseline,Std Deviation,0.07254947287269227
